l,b,Angle from l=0,Angle from MW plane,Distance,"Dist MW or M31, nearest",Orbit Pericenter,Orbit Apocenter,Orbit Eccentricity,Orbit Period,Angular Radius,Radius [pc],V band Magnitude M$_{V}$,Distance to LG surf,Estimated Dynamical Mass,Stellar Velocity Dispersion $\sigma_{star}$,"Stellar Rotation Velocity $V_{rot,star}$",HI Velocity Dispersion $\sigma_{gas}$,"HI Rotation Velocity $V_{rot,gas}$",W50,Surface Brightness $\mu_{V}$,Heliocentric Velocity $v_{helio}$,Star Formation Timescale $\tau_{90}$,Mean Metallicity $\langle $[Fe/H]$\rangle $,Galactocentric Velocity $V_{GSR}$,Local Std of Rest Velocity $V_{LSR}$,Local Group Std of Rest Velocity $V_{LGSR}$,HI Mass $M_{HI}$ (Detected or Limit),3D Position (X),3D Position (Y),3D Position (Z)
359.9574857224316,-0.0379199013714249,0.042514277568443504,0.0379199013714249,9.954054173515215e+20,,,,,,,,,,,,,,,,,,,,,,,,-5.441684496167129e+16,-8.689645002061809e+17,-4.8246393570773376e+17
238.7856569218252,-7.399238615757308,121.2143430781748,7.399238615757308,7211.074791828991,,,,,,,,-14.39,,,,,,,,24.0,87.0,,,-115.28900243310035,71.29583723321684,-112.8427431256282,,-2.0127439399571805,6.141357218390801,-3.1987799239141728
6.599240337924572,-13.731162328849203,6.599240337924572,13.731162328849203,26302.679918953843,18.587575790781678,,,,,342.0,,-13.500000000000002,-211.75692827477158,,,,,,,25.2,140.0,,,172.92364599463554,148.36296233083524,125.8680566108346,122.45408185265198,5.4752418221092585,-22.23882333372081,-12.933964382196145
316.21803919136454,-57.29130695761211,43.78196080863552,57.29130695761211,25000.0,23.298940712126683,2.0,33.0,0.86,0.7,6.0,37.0,-2.410000000000002,-208.3047089163356,,,,,,,,-102.3,,,-191.4210920596809,-109.16546734281916,-201.1149512855916,90.1890225,13.098206150601873,-0.19433005657438016,-21.29317335357619
98.29423509258312,42.87998519914984,98.29423509258312,42.87998519914984,21500.0,26.12657612171909,19.0,62.0,0.53,,2.7,19.0,-2.8999999999999986,-213.92402692582772,,,,,,,,-342.5,,,-170.4612127407101,-329.98672987758215,-158.71892062866004,56.714447261999986,-4.8660714694469736,-7.847660123071938,19.416116476962657
220.4781575559821,50.42582885142677,139.52184244401792,50.42582885142677,22908.676527677748,27.768801777165717,,,,,4.4,,-1.5,-202.9853230372697,,,,,,,27.6,208.5,,,113.58753654631657,204.57149167709545,100.11184186104856,46.65675611252086,-19.39335515466876,10.413156735700056,6.345975330270412
266.15795044145335,-49.77763906622343,93.84204955854669,49.77763906622343,30199.517204020132,31.61018613012547,,,,,3.64,,-2.6999999999999997,-200.00245088360666,,,,,,,,64.0,,,-91.21286281542321,50.53411179903493,-87.57828128674144,132.74892698458365,10.464702893477122,14.364070001977606,-24.416681299583825
154.4162431709347,-77.8038631855293,154.4162431709347,77.8038631855293,30000.0,32.46457120677179,,,,,1.9,17.0,0.01999999999999957,-213.28865005682763,,,,,,,,,,,,,,127.44,27.10847878647717,9.583644881997415,-8.560614969666728
140.899123340276,-23.821265949285717,140.899123340276,23.821265949285717,28400.0,36.41756690401115,16.0,92.0,0.71,10.0,3.9,16.0,-1.7999999999999992,-227.0856212001577,,,,,,,,-381.7,,,-257.0619738895041,-383.99301706265135,-175.8322170144475,107.35636224,19.155115816856267,12.593329982964866,16.76453333627217
152.4642549338653,37.44290116255897,152.4642549338653,37.44290116255897,34700.0,37.78371882720685,38.0,65.0,0.26,3.5,16.0,139.0,-4.199999999999998,-205.00631443500924,,,,,,,27.9,-116.5,,-2.18,-33.425026507088674,-114.17581535034188,3.6273270103212165,112.66924433808,-10.670921618196942,11.493332044026198,30.953590265816626
353.6940202637856,68.87087697538054,6.305979736214397,68.87087697538054,42000.0,39.511366489899395,38.0,167.0,0.63,10.0,4.2,39.0,-2.700000000000001,-190.65136458646148,,,,,,,28.1,-117.0,,,-116.43167269988741,-107.72111861724134,-172.87635143503658,184.86811728,-35.639444372100506,-20.163827455471786,9.340774442941827
149.43285870802447,-38.13517245839996,149.43285870802447,38.13517245839996,34673.685045253165,40.6163173951129,,,,,3.4,,-2.5,-222.1525043146512,,,,,,,27.4,-39.2,,,43.18240558592355,-44.81787889133992,122.78520303158713,269.0369643093985,26.71986121776893,18.582316651067472,11.958718953133793
158.57696842579944,56.780185738251255,158.57696842579944,56.780185738251255,45000.0,42.73609097450467,44.0,53.0,0.19,1.2,2.3,33.0,-2.6999999999999997,-194.0092537705053,,,,,,,26.1,-14.1,,,33.59007595834935,-10.432739482441342,43.9341596674992,5161.319999999999,-26.955357704944305,8.583116919766399,34.99626830020766
241.88672056499118,83.61119052411114,118.11327943500879,83.61119052411114,42000.0,44.817504957731046,43.0,242.0,0.7,3.7,6.0,69.0,-4.1,-185.32286806141568,,,,,,,27.3,98.1,,-2.25,81.81465871617435,103.40686056827991,46.35710548404675,105.44397494399999,-38.13160325822121,-4.5103608282941865,17.018739029558066
241.88672056499118,83.61119052411114,118.11327943500879,83.61119052411114,48000.0,45.607276593654184,,,,,9.1,127.0,-3.51,-186.1707942620948,,,,,,,,,,,,,,163.1232,-38.13160325822121,-4.5103608282941865,17.018739029558066
35.40523804627561,75.35347544349709,35.40523804627561,75.35347544349709,46773.514128719864,45.79454273713892,,,,,,,-5.750000000000003,-184.6298516633081,,,,,,,31.3,197.5,,,240.11377165616713,207.88530758255538,199.33290704396572,107.5840481541017,-36.40834742125872,-20.43141168756892,21.08912701975955
352.52487970666544,-52.16791447983772,7.475120293334554,52.16791447983772,53000.0,48.45789512239038,,,,,6.0,93.0,-3.9200000000000017,-185.21729141831275,,,,,,,,,,,,,,397.7544,32.46217696958378,-17.979268270992673,-37.84115456530233
278.68975040290434,-33.154345251656736,81.31024959709565,33.154345251656736,50582.46620031137,50.205804295248896,,,,,181.8,,-18.12,-179.8604565060661,,,49.8,15.8,63.0,80.064,,262.2,,,67.50921581798471,249.57903311023082,45.704753745957575,460000000.0,2.967280720250453,18.512421366965203,-46.97947836199123
316.71480009374807,-52.37178595591368,43.285199906251925,52.37178595591368,55000.0,52.108450986883106,,,,,1.0,16.0,-1.6099999999999994,-178.88610914081391,,,,,,,,,,,,,,385.506,25.07770603098885,-2.4809872945328237,-48.887149254867296
329.46104304564244,-53.100070944932405,30.53895695435756,53.100070944932405,57543.99373371573,53.79490207548872,,,,,9.83,,-3.8000000000000007,-177.87714705354165,,,,,,,,-129.0,,,-200.7239100411836,-133.60466491373654,-217.00056712206,211.79024266227847,29.619931557537583,-9.067264388457536,-48.49490267917355
19.07317796573354,-22.848071142559828,19.07317796573354,22.848071142559828,70100.0,60.047394389108675,,,,,2.0,33.0,-5.229999999999999,-174.68891020975758,,,,,,,,,,,,,,695.8238159999999,30.69717136368724,-57.32503613364434,-26.18270235374473
19.07317796573354,-22.848071142559828,19.07317796573354,22.848071142559828,63973.48354826483,61.37938982097806,,,,,59.4,,-16.830000000000002,-168.72645657233107,,,,22.0,60.0,90.0,,145.6,,,220.58404095563031,154.33413312783972,192.22086881536097,460000000.0,30.69717136368724,-57.32503613364434,-26.18270235374473
358.08180948077035,69.62406404451913,1.9181905192295967,69.62406404451913,66374.30704019089,64.00255396565976,,,,,12.6,,-6.309999999999999,-166.2643825101499,,,,,,,27.5,99.0,,,105.99002767902991,108.553994696504,51.13889929652125,570.6050379717902,-55.63687925919821,-32.15434359965785,16.618799265833736
86.36783338227318,34.721708670623954,86.36783338227318,34.721708670623954,82000.0,75.86965230559159,21.0,97.0,0.66,1.4,10.0,231.0,-8.799999999999997,-179.75617102626418,,,,,,,25.0,-290.7,10232929922.807535,-1.98,-95.93990158228712,-276.4009071018928,-86.29282335221058,592.3576622117649,-7.524764452958161,-42.901246558734435,69.47561416521752
104.96541449756386,44.80035931341752,104.96541449756386,44.80035931341752,76000.0,77.75702956446655,,,,,8.2,405.0,-8.799999999999997,-175.32087910265358,,,,,,,26.0,-247.2,9120108393.559114,-2.13,-84.88084322460631,-235.69065911876118,-70.76262744636941,600.8321809919997,-19.95944899346135,-21.618804397145507,70.07315957137494
262.4164776490582,-54.153298584093434,97.58352235094179,54.153298584093434,78000.0,79.026686443065,,,,,2.09,44.0,-2.5600000000000023,-154.7614277263254,,,,,,,,,,,,,,775.3449600000001,32.81701380843667,37.930120879847024,-59.73566384277545
271.05938580295066,-54.8768878712905,88.94061419704936,54.8768878712905,79432.82347242814,79.76098196602567,,,,,1.31,,-3.3999999999999986,-153.23698297398394,,,,,,,,113.0,,,-26.08464754687037,100.46746828428257,-21.126510555624485,764.3207540811752,33.748289681071356,32.45638471336463,-64.1654851126561
274.185037067358,-60.01148180390794,85.81496293264206,60.01148180390794,87096.35899560805,87.17875455787495,,,,,0.54,,-2.0,-147.5561000296524,,,,,,,,,,,,,,1074.145846241324,43.826517485551356,31.480467070350056,-68.36660228805513
324.5781593899568,-60.428557584487784,35.421840610043205,60.428557584487784,83176.37711026716,80.25525148685047,,,,,1.09,,-2.8000000000000007,-153.91450009672272,,,,,,,,,,,,,,832.6877565980333,49.177534749823316,-4.304638998096924,-66.94288512019301
283.32569583647273,-84.50168940991823,76.67430416352727,84.50168940991823,86000.0,86.10569793328001,,,,,11.3,279.0,-11.070000000000002,-163.7386818162248,,,,,,,23.5,111.4,10715193052.376049,-1.68,83.00007399256562,103.51212678278047,112.74034568632185,3223.481958959999,70.20980206570107,18.86410957660918,-45.94267149150949
242.2085902020116,43.054665656399536,117.79140979798842,43.054665656399536,85901.3521505396,88.99667519557262,,,,,27.8,,-9.27,-141.91059584994937,,,,,,,27.1,224.2,,,75.9439419396169,218.15563204348462,47.31588633697753,391.73215779947446,-76.7147976029628,38.64645489823025,-0.5776277577490171
272.74119774546114,-46.075639636980384,87.25880225453886,46.075639636980384,92000.0,91.71253733124136,,,,,2.4,64.0,-3.3099999999999987,-139.0993269306108,,,,,,,,,,,,,,1018.72704,25.82861854503608,38.816377137785636,-79.31060036308016
347.59856866959024,-42.11722495818539,12.401431330409766,42.11722495818539,100000.0,94.28224853809894,,,,,1.26,,-3.5,-137.25831145573116,,,,,,,,,,,,,,1416.0000000000002,46.34311910755301,-42.90731326231853,-77.53243050486952
159.43108301337637,54.41432967054264,159.43108301337637,54.41432967054264,96827.78562612488,101.48164149745293,,,,,11.3,,-5.5299999999999985,-142.40634427056784,,,,,,,27.7,-55.3,,,-7.078738089390818,-52.05730098846669,6.414548627520052,6811.551286571539,-55.647811288170786,21.673800554906602,76.21802632974075
339.18554186886035,-58.43470854593643,20.814458131139585,58.43470854593643,120226.4434617413,116.46788418042995,,,,,1.77,,-3.3999999999999986,-119.85250344251264,,,,,,,,-141.0,,,-185.71516821670653,-144.79268936922864,-193.67105242570892,2165.8529076975533,74.60399219810444,-21.14362042595204,-91.87812237332516
256.5555417399944,-40.695234897489314,103.44445826000566,40.695234897489314,114815.3621496884,116.52170744649662,,,,,0.88,,-3.1000000000000014,-115.06822342187414,,,,,,,,,,,,,,1866.6515417958767,24.23302147790305,70.16887190786002,-87.5879984403909
258.1152142616774,-21.67378687730457,101.8847857383226,21.67378687730457,106000.0,107.047859730332,,,,,8.2,311.0,-9.11,-123.10262193220134,,,,,,,25.5,222.9,2884031503.126612,,7.6159310893662,207.6797185684748,-3.96721187467536,1145.1110523359998,-12.548644457067232,68.35258940875134,-80.04033385368136
28.728023378963066,36.87126379978539,28.728023378963066,36.87126379978539,132000.0,126.26070525087128,,,,,8.6,216.0,-6.600000000000001,-105.12268964112104,,,,,,,27.2,45.0,12589254117.941662,-2.39,144.72128093765244,60.12796214528254,95.60719996137549,1534.6839657600005,-48.72382344503365,-119.1463329944878,29.22567985289337
295.30545581515946,32.416293766681484,64.69454418484054,32.416293766681484,151000.0,131.564025609628,116.0,676.0,0.89,,1.7,67.0,-4.84,-138.20638500644344,,,,,,,,303.1,,,133.0445690268117,300.9419676963406,61.3834899825728,3235.6277088720008,-130.1646855613395,-12.362445462787091,-75.53359898017071
234.9461912887614,-65.79320383054058,125.05380871123859,65.79320383054058,139000.0,149.35271040308552,118.0,152.0,0.13,3.2,16.6,792.0,-13.44,-103.10357211327023,,,,,,,23.3,55.2,2398832919.019495,-1.04,-31.176396348262887,42.66812063196302,1.9208038117653,3400.925930892001,88.74392429943832,74.4572961771453,-76.8220472645999
264.3686901801135,57.40649038264365,95.6313098198865,57.40649038264365,154000.0,154.81198101509713,150.0,1794.0,0.95,,4.6,114.0,-5.8400000000000025,-82.04581809525409,,,,,,,27.5,132.3,11220184543.019651,-2.45,13.35231409699941,131.28895991821554,-34.301458055967124,2287.696776288,-152.92196442501537,18.13333785684629,1.4334763910877877
113.57855435026991,82.70309345930633,113.57855435026991,82.70309345930633,160000.0,160.57346416941132,,,,,1.6,71.0,-4.919999999999998,-71.51615496478067,,,,,,,26.1,-128.9,,-2.12,-95.40746218844237,-121.01705090324123,-122.3177973730317,2372.355072,-128.05332743441002,-32.620549922023216,90.2122223191545
261.8624411735513,58.53743317853026,98.13755882644871,58.53743317853026,169000.0,178.6117675685889,165.0,4079.0,0.96,,2.6,49.0,-5.25,-57.95097971138723,,,,,,,27.1,170.9,,,56.334786954629614,170.0057091904816,10.393615323856086,2935.2152844337147,-167.53784610127056,21.19466014818249,6.546487985937661
79.20634166197053,-47.105798963652504,79.20634166197053,47.105798963652504,183000.0,181.1140334850256,171.0,31214.0,0.992,,1.1,60.0,-5.0,-157.7169398273358,,,,,,,25.7,-226.5,,,-75.36479113316628,-222.45782771885075,-30.88211144895368,1625.3697728373625,175.50277082971147,-48.24541177484122,18.977820574812675
231.55509928474243,-28.861399586168428,128.44490071525757,28.861399586168428,183000.0,186.51722441319345,,,,,1.9,117.0,-4.5,-51.1659760731874,,,,,,,,,,,,,,5216.2466399999985,20.08897598050094,160.3710400509681,-85.82868143590255
