,GalaxyName,rh_pc
0,#TheGalaxy,2.8952247161945637e+19
1,#*CanisMajor,209.74048969092595
2,SagittariusdSph,2616.6872321379433
3,TucanaIII,37.0
4,DracoII,19.0
5,Segue(I),29.320973520989625
6,Reticulum2,31.976217765292205
7,CetusII,17.0
8,TriangulumII,16.0
9,UrsaMajorII,139.0
10,BootesII,39.0
11,SegueII,34.29293263147721
12,Willman1,33.0
13,ComaBerenices,69.0
14,TucanaIV,127.0
15,BootesIII,1360.449037228041
16,GrusII,93.0
17,LMC,2674.9741415799886
18,TucanaV,16.0
19,Tucana2,164.54293023123424
20,SagittariusII,33.0
21,SMC,1105.381404339155
22,Bootes(I),243.2743127645714
23,Draco,231.0
24,UrsaMinor,405.0
25,HorologiumII,44.0
26,Horologium1,30.268925532362992
27,Eridanus3,13.681051227584426
28,Phoenix2,26.372555028780805
29,Sculptor,279.0
30,Sextans(I),694.6571419634939
31,ReticulumIII,64.0
32,Indus1,36.651879863282666
33,UrsaMajor(I),318.27619157158347
34,Grus1,61.901186801623766
35,Pictoris1,29.390595212486595
36,Carina,311.0
37,Hercules,216.0
38,HydraII,67.0
39,Fornax,792.0
40,LeoIV,114.0
41,CanesVenaticiII,71.0
42,LeoV,49.0
43,PiscesII,60.0
44,ColumbaI,117.0
45,Pegasus3,77.56558308408789
46,IndusI?,180.35313968602935
47,CanesVenatici(I),563.7878546707328
48,LeoII,171.0
49,LeoI,270.0
50,#Andromeda,22786.744231021315
51,M32,110.1091898374116
52,AndromedaIX,556.7570408779412
53,NGC205,589.7403135574091
54,AndromedaI,671.5639936320458
55,AndromedaXVII,262.51093233238663
56,AndromedaXXVII,433.50909597329706
57,AndromedaIII,478.7936589701233
58,AndromedaXXV,709.3277720870624
59,AndromedaXXVI,221.67958985540295
60,AndromedaV,314.66884419576263
61,AndromedaXI,151.69946807986364
62,AndromedaXIX,1479.5082757166372
63,AndromedaXXIII,1029.1615228909623
64,AndromedaXX,114.28824896792564
65,AndromedaXIII,190.46725023202114
66,AndromedaX,253.31975630615477
67,AndromedaXXI,842.934353281411
68,AndromedaXXXII,1467.7059873715343
69,NGC147,623.4260874096669
70,AndromedaXXX,267.95352689731806
71,AndromedaXIV,392.80285041997814
72,AndromedaXII,324.27013719320007
73,AndromedaXV,220.0447845999797
74,AndromedaII,1175.215196909963
75,NGC185,457.3681200630586
76,AndromedaXXIX,361.5552154524934
77,Triangulum,23533.270004754955
78,AndromedaXXIV,366.3911744997662
79,AndromedaVII,775.8785644939103
80,IC10,612.3103256546717
81,AndromedaXXXI,926.7764715649978
82,LGS3,469.8346082763088
83,AndromedaVI,524.147532066697
84,AndromedaXXII,251.6828150528636
85,AndromedaXVI,123.34334324974762
86,AndromedaXXVIII,213.32840587257132
87,AndromedaXXXIII,382.09788223771176
88,IC1613,1495.7975624759235
89,Phoenix,453.8512690873989
90,Eridanus2,508.7255394006492
91,NGC6822,353.97417904667344
92,Cetus,702.8711013102725
93,PegasusdIrr,562.2701187351208
94,LeoT,118.0
95,WLM,2340.092232672554
96,AndromedaXVIII,324.72336337074546
97,LeoA,499.07310817428555
98,Aquarius,458.18729654549605
99,Tucana,283.869278813688
100,SagittariusdIrr,282.33654870759534
101,UGC4879,162.37141147874044
102,AntliaB,271.05548857362817
103,NGC3109,1626.275670291076
104,SextansB,439.5735726036853
105,Antlia,470.8764334550168
106,SextansA,1029.017267458558
107,HIZSS3(A),48717.19530910727
108,HIZSS3B,48717.19530910727
109,LeoP,566.1179890424596
110,ESO410-G005,279.7020913257453
111,KKR25,262.9199658462005
112,NGC55,2899.8491792036416
113,ESO294-G010,248.2990166804488
114,NGC300,3024.7933780869666
115,IC5152,550.1706819184944
116,KKH98,469.792071671171
117,UKS2323-326,578.0537443726295
118,KK258,6812.25972366985
119,KKR3,229.10164631571192
120,KKs3,351.23724735412554
121,GR8,202.71023988161178
122,UGC9128,426.4868875780309
123,UGC8508,315.48230094292205
124,IC3104,1327.1553639114188
125,DDO125,781.1942690015213
126,UGCA86,810.6876608691379
127,DDO99,679.1539308870427
128,IC4662,341.1669450347193
129,DDO190,519.8830800354579
130,KKH86,210.321533961948
131,NGC4163,374.05737605082606
132,DDO113,600.9298112621549
133,Antlia2,48.76445349429133
134,CetusIII,90.0
135,DESJ0225+0304,19.0
136,PictorII,47.0
137,VirgoI,38.0
138,HydrusI,53.0
139,CarinaII,92.0
140,CarinaIII,30.0
141,CraterII,1066.0
142,AquariusII,160.0
