GalaxyName,MHI_computed,MHI_type,V_GSR,min_dist_mw_or_m31,M_star,L_V,tau_90,M_V
#TheGalaxy,,,,,,,,
#*CanisMajor,,,-115.28900243310000,,,48752849.010338600,,-14.390000000000000
SagittariusdSph,0,upper_limit,172.92364599463600,18.587575790781700,21,21478304.741305400,,-13.500000000000000
TucanaIII,0,upper_limit,-191.4210920596810,23.298940712126700,,787.0457896951000,,-2.410000000000000
DracoII,0,upper_limit,-170.4612127407100,26.12657612171910,,1235.9474334445100,,-2.9000000000000000
Segue1,0,upper_limit,113.58753654631700,27.768801777165700,0.00034,340.4081897010010,,-1.5
Reticulum2,0,upper_limit,-91.21286281542320,31.610186130125500,,1028.0162981264700,,-2.7000000000000000
CetusII,0,upper_limit,,32.46457120677180,,83.94599865193980,,0.019999999999999600
TriangulumII,0,upper_limit,-257.0619738895040,36.41756690401120,,448.74538993313200,,-1.800000000000000
UrsaMajorII,0,upper_limit,-33.425026507088700,37.78371882720690,0.0041,4092.6065973001100,,-4.200000000000000
BootesII,0,upper_limit,-116.4316726998870,39.511366489899400,0.0010,1028.0162981264700,,-2.700000000000000
SegueII,0,upper_limit,43.182405585923600,40.6163173951129,0.00086,855.0667128846830,,-2.5
Willman1,0,upper_limit,33.59007595834940,42.73609097450470,0.0010,1028.0162981264700,,-2.7000000000000000
ComaBerenices,0,upper_limit,81.81465871617440,44.817504957731000,0.0037,3732.5015779572100,,-4.1
TucanaIV,0,upper_limit,,45.607276593654200,,2167.704104819690,,-3.51
BootesIII,0,upper_limit,240.11377165616700,45.79454273713890,0.017,17060.82389003130,,-5.750000000000000
GrusII,0,upper_limit,,48.45789512239040,,3162.277660168390,,-3.9200000000000000
LMC,460000000.0,detected_mass,67.50921581798470,50.205804295248900,1500,1513561248.4362100,,-18.12
TucanaV,0,upper_limit,,52.108450986883100,,376.70379898390900,,-1.6100000000000000
TucanaII,0,upper_limit,-200.72391004118400,53.79490207548870,,2831.3919957993800,,-3.8000000000000000
SagittariusII,0,upper_limit,,60.047394389108700,,10568.175092136600,,-5.230000000000000
SMC,460000000.0,detected_mass,220.58404095563000,61.37938982097810,460,461317574.56038100,,-16.830000000000000
Bootes,0,upper_limit,105.9900276790300,64.00255396565980,0.029,28575.905433749400,,-6.310000000000000
Draco,0,upper_limit,-95.93990158228710,75.86965230559160,0.29,283139.1995799380,10232929922.807500,-8.800000000000000
UrsaMinor,0,upper_limit,-84.88084322460630,77.75702956446660,,283139.1995799380,9120108393.559110,-8.800000000000000
HorologiumII,0,upper_limit,,79.026686443065,,903.6494737223030,,-2.5600000000000000
Horologium1,0,upper_limit,-26.08464754687040,79.76098196602570,,1958.844673505990,,-3.4000000000000000
Eridanus3,0,upper_limit,,87.17875455787500,,539.5106225151280,,-2.0
Phoenix2,0,upper_limit,,80.25525148685050,,1127.1974561755100,,-2.8000000000000000
Sculptor,0,upper_limit,83.00007399256560,86.10569793328000,2.3,2290867.6527677800,10715193052.376000,-11.070000000000000
Sextans,0,upper_limit,75.9439419396169,88.99667519557260,0.44,436515.83224016700,,-9.270000000000000
ReticulumIII,0,upper_limit,,91.71253733124140,,1803.0177408595700,,-3.3100000000000000
IndusI,0,upper_limit,,94.28224853809890,,2147.8304741305300,,-3.5
UrsaMajor,0,upper_limit,-7.078738089390820,101.48164149745300,0.014,13931.568029453000,,-5.530000000000000
GrusI,0,upper_limit,-185.71516821670700,116.46788418043000,,1958.844673505990,,-3.4000000000000000
Pictoris1,0,upper_limit,,116.52170744649700,,1485.935642287010,,-3.1000000000000000
